Transaction_Text,Label
Education loan EMI - INR 48395 - Ref 776405,EMI
NPS contribution - INR 24678 - Ref 554441,Investment
eBay online order - INR 21649 - Ref 863410,Shopping
Credit card EMI - INR 11866 - Ref 611973,EMI
Car loan EMI - INR 20537 - Ref 317418,EMI
Credit card EMI - INR 17358 - Ref 776864,EMI
Stock market investment - INR 3515 - Ref 966760,Investment
Metro card recharge - INR 31664 - Ref 344965,Travel
Electronics purchase - INR 20742 - Ref 689191,Shopping
Bus ticket purchase - INR 46011 - Ref 472828,Travel
Grocery food items - INR 24352 - Ref 450218,Food
Bike loan EMI - INR 43378 - Ref 474875,EMI
Grocery food items - INR 15852 - Ref 169806,Food
Fixed deposit investment - INR 15964 - Ref 968375,Investment
PPF contribution - INR 25330 - Ref 784494,Investment
Cafe coffee purchase - INR 3139 - Ref 599962,Food
PPF contribution - INR 875 - Ref 642625,Investment
Restaurant dine-in bill - INR 19055 - Ref 558430,Food
Stock market investment - INR 37521 - Ref 810126,Investment
Uber ride payment - INR 8021 - Ref 122858,Travel
Hotel stay booking - INR 24826 - Ref 796007,Travel
Car loan EMI - INR 2924 - Ref 360073,EMI
Metro card recharge - INR 10686 - Ref 376985,Travel
Demat account transfer - INR 33298 - Ref 275461,Investment
Metro card recharge - INR 27136 - Ref 481669,Travel
Ola cab booking - INR 15316 - Ref 395391,Travel
Uber ride payment - INR 4081 - Ref 691869,Travel
Education loan EMI - INR 22576 - Ref 633337,EMI
Amazon online shopping - INR 22559 - Ref 120999,Shopping
Grocery food items - INR 24040 - Ref 271096,Food
KFC online order - INR 31494 - Ref 579992,Food
Dominos pizza order - INR 15575 - Ref 251220,Food
PPF contribution - INR 12209 - Ref 487335,Investment
Share trading debit - INR 23155 - Ref 156695,Investment
Fixed deposit investment - INR 20884 - Ref 445733,Investment
MakeMyTrip travel booking - INR 45956 - Ref 123819,Travel
Dominos pizza order - INR 16805 - Ref 141133,Food
Cafe coffee purchase - INR 35729 - Ref 588406,Food
KFC online order - INR 22651 - Ref 892243,Food
Credit card EMI - INR 17886 - Ref 328648,EMI
Electronics purchase - INR 39269 - Ref 989426,Shopping
Demat account transfer - INR 26265 - Ref 921268,Investment
Lifestyle store purchase - INR 26094 - Ref 220872,Shopping
Mobile EMI payment - INR 31480 - Ref 429340,EMI
Electronics purchase - INR 47790 - Ref 959509,Shopping
Mutual fund SIP - INR 48751 - Ref 951124,Investment
Car loan EMI - INR 8843 - Ref 989212,EMI
Consumer durable EMI - INR 4552 - Ref 830073,EMI
Cafe coffee purchase - INR 15609 - Ref 618466,Food
Cafe coffee purchase - INR 22681 - Ref 981647,Food
Grocery food items - INR 40505 - Ref 250520,Food
Personal loan EMI - INR 25938 - Ref 822729,EMI
Laptop EMI payment - INR 19410 - Ref 248151,EMI
ETF purchase - INR 40271 - Ref 354712,Investment
PPF contribution - INR 1232 - Ref 910459,Investment
ETF purchase - INR 4220 - Ref 748914,Investment
Flipkart purchase - INR 37268 - Ref 578791,Shopping
Ajio clothing purchase - INR 10303 - Ref 182936,Shopping
Demat account transfer - INR 46810 - Ref 366599,Investment
Retirement fund investment - INR 12174 - Ref 797953,Investment
Retirement fund investment - INR 19499 - Ref 910367,Investment
Stock market investment - INR 16349 - Ref 969320,Investment
Swiggy order payment - INR 42451 - Ref 439001,Food
Appliance EMI - INR 2296 - Ref 141407,EMI
Mall shopping payment - INR 21336 - Ref 773116,Shopping
Bakery purchase - INR 49152 - Ref 227939,Food
Home loan EMI - INR 5365 - Ref 370001,EMI
ETF purchase - INR 44903 - Ref 777818,Investment
ETF purchase - INR 4532 - Ref 873617,Investment
Lifestyle store purchase - INR 47417 - Ref 997648,Shopping
Airport taxi fare - INR 19111 - Ref 524939,Travel
Rapido bike ride - INR 46983 - Ref 819378,Travel
Appliance EMI - INR 49403 - Ref 184143,EMI
Gold bond investment - INR 39805 - Ref 614583,Investment
Restaurant dine-in bill - INR 21045 - Ref 191375,Food
Cafe coffee purchase - INR 43045 - Ref 619236,Food
Lifestyle store purchase - INR 41191 - Ref 678897,Shopping
Retail store shopping - INR 6913 - Ref 455102,Shopping
Restaurant dine-in bill - INR 31056 - Ref 180963,Food
Mall shopping payment - INR 6823 - Ref 550381,Shopping
Ola cab booking - INR 10081 - Ref 505637,Travel
Hotel stay booking - INR 907 - Ref 383013,Travel
Electronics purchase - INR 37557 - Ref 202203,Shopping
Bike loan EMI - INR 1557 - Ref 606121,EMI
Restaurant dine-in bill - INR 37747 - Ref 688750,Food
Home loan EMI - INR 16682 - Ref 520935,EMI
Flipkart purchase - INR 25592 - Ref 926764,Shopping
Lifestyle store purchase - INR 24366 - Ref 533171,Shopping
Personal loan EMI - INR 33013 - Ref 720631,EMI
MakeMyTrip travel booking - INR 30436 - Ref 279105,Travel
PPF contribution - INR 18575 - Ref 356598,Investment
Electronics purchase - INR 47680 - Ref 317890,Shopping
Consumer durable EMI - INR 5005 - Ref 314015,EMI
Rapido bike ride - INR 14231 - Ref 483802,Travel
Zomato food delivery - INR 29503 - Ref 710180,Food
Ajio clothing purchase - INR 25627 - Ref 268874,Shopping
Laptop EMI payment - INR 28219 - Ref 584821,EMI
Myntra fashion order - INR 42903 - Ref 602428,Shopping
Stock market investment - INR 35345 - Ref 656795,Investment
MakeMyTrip travel booking - INR 29077 - Ref 580902,Travel
ETF purchase - INR 29618 - Ref 578112,Investment
Rapido bike ride - INR 20196 - Ref 608061,Travel
Dominos pizza order - INR 22233 - Ref 928240,Food
Home loan EMI - INR 35724 - Ref 626120,EMI
Credit card EMI - INR 35854 - Ref 283675,EMI
Stock market investment - INR 48502 - Ref 863472,Investment
Grocery food items - INR 34096 - Ref 811879,Food
Mall shopping payment - INR 40404 - Ref 449492,Shopping
Myntra fashion order - INR 5699 - Ref 938287,Shopping
Myntra fashion order - INR 28259 - Ref 841407,Shopping
Credit card EMI - INR 8455 - Ref 992441,EMI
Ola cab booking - INR 15905 - Ref 920164,Travel
Metro card recharge - INR 1635 - Ref 626072,Travel
Supermarket shopping - INR 21499 - Ref 432836,Shopping
Zomato food delivery - INR 40354 - Ref 571732,Food
Airport taxi fare - INR 5249 - Ref 761735,Travel
McDonald's meal payment - INR 36169 - Ref 603748,Food
Share trading debit - INR 12464 - Ref 457009,Investment
Hotel dinner bill - INR 29347 - Ref 582728,Food
Electronics purchase - INR 5804 - Ref 988479,Shopping
Hotel stay booking - INR 37428 - Ref 591596,Travel
Airport taxi fare - INR 26764 - Ref 361925,Travel
Retail store shopping - INR 43896 - Ref 408605,Shopping
Electronics purchase - INR 26709 - Ref 859915,Shopping
Car loan EMI - INR 5516 - Ref 212335,EMI
Grocery food items - INR 8069 - Ref 639847,Food
Demat account transfer - INR 12425 - Ref 886422,Investment
Consumer durable EMI - INR 44057 - Ref 767368,EMI
Bakery purchase - INR 3796 - Ref 881364,Food
Bakery purchase - INR 14367 - Ref 607881,Food
KFC online order - INR 48400 - Ref 464258,Food
Retirement fund investment - INR 24778 - Ref 340239,Investment
Ola cab booking - INR 10453 - Ref 212501,Travel
Mall shopping payment - INR 27569 - Ref 294121,Shopping
Bakery purchase - INR 43070 - Ref 828648,Food
Education loan EMI - INR 2920 - Ref 109676,EMI
Gold bond investment - INR 19770 - Ref 874607,Investment
Credit card EMI - INR 40398 - Ref 881470,EMI
Hotel dinner bill - INR 2768 - Ref 402031,Food
Stock market investment - INR 4504 - Ref 628091,Investment
Hotel stay booking - INR 9624 - Ref 359348,Travel
IRCTC train ticket - INR 29561 - Ref 685237,Travel
Uber ride payment - INR 17124 - Ref 576803,Travel
Mobile EMI payment - INR 34930 - Ref 859158,EMI
Mutual fund SIP - INR 3671 - Ref 730179,Investment
Bakery purchase - INR 22202 - Ref 830541,Food
Laptop EMI payment - INR 6390 - Ref 489888,EMI
Retail store shopping - INR 29950 - Ref 697775,Shopping
NPS contribution - INR 21111 - Ref 945708,Investment
Appliance EMI - INR 16557 - Ref 470368,EMI
Fixed deposit investment - INR 47054 - Ref 439899,Investment
Mutual fund SIP - INR 36988 - Ref 693493,Investment
Share trading debit - INR 21095 - Ref 365065,Investment
Bakery purchase - INR 46772 - Ref 912601,Food
Mutual fund SIP - INR 42109 - Ref 880697,Investment
Bus ticket purchase - INR 42038 - Ref 419320,Travel
NPS contribution - INR 45936 - Ref 430077,Investment
Personal loan EMI - INR 33408 - Ref 803190,EMI
Retail store shopping - INR 46561 - Ref 817080,Shopping
Personal loan EMI - INR 17498 - Ref 151024,EMI
Metro card recharge - INR 36066 - Ref 208743,Travel
Personal loan EMI - INR 23268 - Ref 732161,EMI
Electronics purchase - INR 47094 - Ref 370219,Shopping
Bus ticket purchase - INR 19081 - Ref 539478,Travel
Credit card EMI - INR 23354 - Ref 496142,EMI
Swiggy order payment - INR 11105 - Ref 667336,Food
Electronics purchase - INR 48859 - Ref 506152,Shopping
Personal loan EMI - INR 47665 - Ref 362463,EMI
Bakery purchase - INR 49912 - Ref 105407,Food
Laptop EMI payment - INR 29670 - Ref 997415,EMI
Retail store shopping - INR 11689 - Ref 640919,Shopping
Share trading debit - INR 46488 - Ref 289693,Investment
Amazon online shopping - INR 45492 - Ref 424455,Shopping
Personal loan EMI - INR 47588 - Ref 621512,EMI
Mall shopping payment - INR 40211 - Ref 516829,Shopping
Home loan EMI - INR 34859 - Ref 540264,EMI
Retirement fund investment - INR 48595 - Ref 448424,Investment
Retail store shopping - INR 7717 - Ref 465281,Shopping
Personal loan EMI - INR 11727 - Ref 444605,EMI
Uber ride payment - INR 29319 - Ref 693851,Travel
Electronics purchase - INR 30515 - Ref 731295,Shopping
Dominos pizza order - INR 39650 - Ref 463631,Food
Consumer durable EMI - INR 11767 - Ref 749455,EMI
Car loan EMI - INR 31915 - Ref 834065,EMI
Personal loan EMI - INR 7719 - Ref 886039,EMI
Airport taxi fare - INR 11837 - Ref 350255,Travel
Restaurant dine-in bill - INR 15966 - Ref 932189,Food
Bike loan EMI - INR 5979 - Ref 784359,EMI
Share trading debit - INR 19853 - Ref 231332,Investment
Mutual fund SIP - INR 18994 - Ref 524595,Investment
Dominos pizza order - INR 11122 - Ref 114082,Food
Hotel dinner bill - INR 10328 - Ref 476203,Food
ETF purchase - INR 49157 - Ref 966029,Investment
Car loan EMI - INR 15416 - Ref 906924,EMI
KFC online order - INR 31088 - Ref 979665,Food
Demat account transfer - INR 27664 - Ref 523717,Investment
Grocery food items - INR 9102 - Ref 937941,Food
Ajio clothing purchase - INR 7257 - Ref 340946,Shopping
IRCTC train ticket - INR 47924 - Ref 370028,Travel
Uber ride payment - INR 30640 - Ref 233937,Travel
Retail store shopping - INR 29349 - Ref 815046,Shopping
Airport taxi fare - INR 42410 - Ref 783177,Travel
Stock market investment - INR 26742 - Ref 759126,Investment
Uber ride payment - INR 18427 - Ref 847698,Travel
Ola cab booking - INR 47252 - Ref 259522,Travel
Appliance EMI - INR 16327 - Ref 769214,EMI
Supermarket shopping - INR 17241 - Ref 609081,Shopping
NPS contribution - INR 9263 - Ref 569679,Investment
MakeMyTrip travel booking - INR 25980 - Ref 445434,Travel
Bakery purchase - INR 33851 - Ref 242625,Food
Ajio clothing purchase - INR 8838 - Ref 633302,Shopping
Mobile EMI payment - INR 16992 - Ref 968433,EMI
NPS contribution - INR 27901 - Ref 910245,Investment
Rapido bike ride - INR 8776 - Ref 231929,Travel
Hotel stay booking - INR 41893 - Ref 215429,Travel
Zomato food delivery - INR 16121 - Ref 819795,Food
Bike loan EMI - INR 3765 - Ref 809659,EMI
Cafe coffee purchase - INR 19974 - Ref 109518,Food
Ola cab booking - INR 7730 - Ref 575406,Travel
Dominos pizza order - INR 4938 - Ref 487180,Food
Retail store shopping - INR 36281 - Ref 451385,Shopping
Zomato food delivery - INR 4552 - Ref 345466,Food
Gold bond investment - INR 33058 - Ref 781594,Investment
eBay online order - INR 1621 - Ref 539821,Shopping
